age,gender,occupation
63,1,무직
78,0,자유업
63,1,자유업
46,1,회사원
48,1,무직
70,1,기타
54,1,기타
70,0,주부
56,1,자유업
54,0,주부
70,0,주부
44,0,무직
64,1,자유업
68,1,기타
48,1,기타
68,1,자유업
56,1,회사원
43,0,기타
70,1,무직
66,0,주부
37,0,주부
75,1,nan
48,0,기타
71,1,무직
57,1,기타
47,0,주부
58,0,교사
57,0,자유업
35,1,전문직
48,0,주부
39,0,자유업
66,0,주부
76,1,기타
55,1,회사원
37,1,회사원
61,1,기타
47,1,회사원
50,0,주부
50,1,무직
45,0,무직
71,1,무직
59,0,주부
48,0,회사원
66,1,nan
67,1,자유업
48,1,자유업
55,0,무직
49,1,회사원
51,1,무직
46,0,주부
81,0,주부
43,0,회사원
63,1,nan
48,1,회사원
54,1,무직
58,0,주부
72,0,무직
49,0,회사원
37,1,기타
56,0,회사원
73,0,무직
50,0,주부
61,0,기타
55,1,회사원
58,0,주부
50,1,기타
27,1,기타
54,1,자유업
73,0,주부
55,0,자유업
50,1,전문직
56,1,자유업
60,1,자유업
63,1,기타
58,1,회사원
56,1,기타
72,1,무직
41,1,회사원
58,0,회사원
49,0,회사원
72,0,기타
79,0,주부
39,1,기타
70,1,무직
58,1,회사원
48,1,무직
69,1,nan
80,1,기타
71,1,무직
65,1,회사원
74,1,무직
62,1,기타
69,1,무직
59,1,무직
73,0,무직
46,1,기타
60,1,자유업
65,1,무직
57,1,회사원
48,0,회사원
58,1,기타
65,1,무직
61,1,회사원
66,1,무직
41,1,자유업
68,1,기타
75,1,무직
71,0,주부
56,1,무직
77,1,무직
54,1,기타
74,1,기타
58,1,기타
56,1,기타
59,0,주부
60,0,주부
52,1,회사원
65,1,기타
73,1,무직
83,1,무직
71,1,기타
62,1,자유업
55,1,nan
60,0,주부
43,1,무직
55,1,교사
56,0,주부
68,1,기타
43,1,자유업
73,0,주부
36,1,무직
61,1,무직
45,1,회사원
63,0,자유업
58,0,기타
88,1,무직
59,1,무직
48,0,무직
66,0,주부
85,1,무직
61,1,무직
51,1,자유업
47,1,기타
62,1,기타
70,1,무직
66,1,무직
45,1,기타
54,0,주부
44,1,회사원
54,1,회사원
67,1,무직
75,1,무직
72,1,무직
21,1,학생
80,0,무직
70,1,자유업
63,0,자유업
57,1,자유업
46,1,회사원
67,1,무직
63,1,자유업
69,1,회사원
78,0,주부
50,1,기타
48,1,자유업
58,1,자유업
49,1,기타
42,1,nan
71,1,무직
74,1,전문직
61,0,기타
54,1,무직
49,0,전문직
39,1,회사원
45,1,자유업
62,1,회사원
68,0,주부
32,1,기타
64,0,주부
62,1,무직
38,1,무직
71,1,무직
43,1,회사원
62,1,무직
56,1,자유업
71,1,자유업
66,1,자유업
35,1,nan
51,1,자유업
33,1,기타
61,1,무직
80,1,기타
68,1,자유업
64,1,자유업
67,1,기타
64,1,기타
61,1,회사원
50,0,무직
60,1,무직
52,1,기타
63,0,주부
74,0,주부
78,1,무직
44,1,교사
54,1,회사원
50,0,자유업
43,1,기타
26,0,회사원
47,1,회사원
56,1,무직
61,1,자유업
58,1,무직
64,1,회사원
45,1,회사원
44,1,기타
46,1,자유업
54,1,회사원
64,1,회사원
46,1,자유업
67,0,기타
75,0,주부
56,1,회사원
72,1,회사원
61,0,주부
48,1,기타
71,0,주부
53,0,전문직
53,1,회사원
70,1,자유업
69,0,무직
69,1,무직
41,1,무직
61,0,무직
79,1,무직
35,1,전문직
75,1,자유업
63,1,무직
83,1,무직
34,0,주부
68,0,주부
69,0,무직
64,1,기타
48,0,회사원
39,0,자유업
56,1,회사원
48,1,자유업
42,1,자유업
57,0,주부
65,0,주부
54,1,자유업
51,1,회사원
51,1,전문직
81,1,무직
50,1,자유업
76,0,무직
54,0,전문직
82,0,무직
65,1,자유업
69,1,기타
45,0,자유업
30,0,회사원
67,1,기타
47,0,자유업
56,1,무직
81,1,무직
55,0,자유업
73,1,무직
58,0,주부
41,1,회사원
46,0,교사
66,0,무직
65,1,무직
66,1,기타
62,1,자유업
58,1,기타
59,1,nan
73,1,무직
41,1,회사원
53,1,회사원
65,0,주부
75,0,무직
33,1,군인
40,0,nan
77,1,무직
59,0,주부
67,0,무직
61,1,기타
39,1,무직
59,1,회사원
53,1,기타
74,0,주부
69,1,무직
33,0,회사원
51,1,회사원
67,1,자유업
62,1,무직
50,0,주부
61,1,회사원
62,1,무직
46,1,무직
59,1,기타
59,1,전문직
56,1,자유업
72,0,무직
55,1,기타
58,1,무직
45,1,교사
45,1,회사원
53,0,주부
59,1,회사원
34,1,회사원
57,1,자유업
49,1,회사원
58,1,무직
79,1,무직
58,1,자유업
73,1,무직
73,0,무직
51,0,회사원
78,0,주부
62,1,기타
45,1,자유업
62,1,기타
57,1,회사원
44,0,주부
68,1,무직
38,1,기타
62,1,자유업
30,1,회사원
46,0,주부
45,0,주부
45,1,무직
55,0,주부
33,1,회사원
50,1,회사원
68,0,주부
72,0,주부
47,1,회사원
48,1,회사원
50,0,기타
55,1,회사원
39,1,자유업
71,1,무직
56,1,자유업
80,1,무직
52,1,기타
46,1,회사원
56,1,자유업
40,1,회사원
65,1,nan
66,0,주부
79,1,무직
49,1,자유업
40,1,자유업
48,0,주부
49,1,교사
79,0,주부
42,1,회사원
65,0,무직
48,0,자유업
62,1,기타
72,1,기타
80,0,무직
52,1,자유업
59,1,자유업
58,1,회사원
47,1,무직
61,1,자유업
4,0,nan
77,1,무직
73,1,기타
41,0,회사원
42,1,기타
72,1,기타
68,0,주부
74,1,기타
55,0,주부
60,1,기타
73,1,무직
27,0,주부
67,1,기타
59,1,기타
50,1,회사원
46,1,회사원
69,1,기타
48,0,주부
44,0,주부
57,0,기타
45,0,주부
41,1,기타
75,1,무직
52,1,전문직
66,1,무직
57,0,기타
43,0,무직
56,1,무직
65,1,무직
65,0,무직
77,1,무직
51,0,주부
60,1,회사원
65,1,회사원
74,1,기타
39,1,자유업
56,1,기타
76,0,주부
47,1,자유업
39,1,회사원
46,0,회사원
32,1,회사원
61,0,주부
75,0,주부
51,1,회사원
66,1,기타
68,1,기타
59,1,회사원
51,1,기타
67,1,무직
53,1,자유업
19,0,학생
70,1,무직
55,1,회사원
60,0,주부
64,1,자유업
58,0,무직
64,1,무직
60,1,nan
77,1,기타
45,1,회사원
48,1,회사원
60,0,회사원
58,1,기타
44,1,회사원
66,1,무직
32,0,주부
25,0,무직
56,1,전문직
69,0,무직
73,1,무직
43,1,회사원
59,1,회사원
56,0,주부
42,1,회사원
42,1,회사원
53,1,전문직
54,0,자유업
56,0,기타
87,1,무직
51,1,자유업
60,0,무직
70,1,자유업
41,0,주부
76,0,기타
49,1,회사원
56,0,자유업
58,1,자유업
41,1,전문직
45,1,회사원
62,1,회사원
80,1,무직
63,1,기타
66,1,무직
71,1,기타
36,1,회사원
66,1,기타
60,1,전문직
51,1,nan
52,0,자유업
76,1,무직
62,1,무직
68,0,무직
64,1,회사원
52,1,자유업
50,1,무직
63,0,무직
75,1,무직
67,1,무직
29,0,회사원
51,1,무직
60,0,주부
59,0,주부
56,1,회사원
58,1,전문직
68,1,무직
48,0,주부
60,1,무직
77,1,무직
69,1,무직
65,1,무직
25,1,기타
78,0,무직
84,1,무직
68,1,회사원
67,0,주부
50,1,회사원
69,0,기타
50,1,전문직
43,1,전문직
63,0,무직
45,1,자유업
41,1,무직
83,0,무직
44,1,회사원
50,1,기타
55,1,무직
57,0,무직
68,1,무직
70,0,주부
70,0,무직
47,0,회사원
73,1,nan
48,1,회사원
59,1,무직
53,1,기타
78,1,자유업
82,1,무직
42,0,무직
50,1,회사원
59,0,주부
49,1,회사원
49,0,자유업
45,0,주부
51,1,회사원
83,1,무직
58,1,nan
51,1,회사원
62,1,무직
48,1,회사원
63,1,무직
76,1,무직
60,1,무직
41,1,무직
55,1,자유업
76,1,기타
46,0,회사원
79,0,주부
76,0,주부
63,0,무직
58,1,nan
53,1,회사원
77,1,자유업
82,1,무직
57,1,자유업
74,0,주부
57,1,자유업
60,0,기타
36,0,회사원
62,1,무직
76,1,nan
79,0,무직
53,1,자유업
65,0,무직
40,1,회사원
51,0,기타
54,1,자유업
61,0,주부
66,0,자유업
69,1,자유업
39,0,회사원
72,1,무직
67,1,무직
54,0,무직
58,0,주부
50,1,자유업
49,1,자유업
39,0,주부
64,1,무직
52,1,기타
48,1,기타
58,1,회사원
48,1,회사원
2,1,nan
48,1,회사원
55,1,무직
49,1,회사원
56,0,기타
71,0,주부
62,1,기타
66,0,주부
66,1,무직
64,1,기타
30,1,회사원
63,1,무직
52,1,회사원
76,0,주부
48,1,회사원
40,1,회사원
47,1,회사원
54,1,기타
71,1,무직
67,1,기타
58,1,기타
56,1,회사원
54,1,전문직
58,0,자유업
64,0,주부
64,0,주부
74,1,무직
44,0,기타
51,1,기타
73,1,무직
63,1,무직
65,1,자유업
53,1,전문직
49,0,자유업
60,1,자유업
30,1,회사원
53,0,기타
78,0,무직
40,1,회사원
64,0,무직
58,1,기타
48,1,자유업
70,1,자유업
60,0,주부
54,0,주부
75,1,무직
49,1,회사원
39,1,회사원
65,0,주부
44,0,주부
54,0,주부
69,1,자유업
49,1,자유업
76,0,주부
49,1,무직
33,1,기타
61,1,기타
56,0,회사원
68,1,무직
86,1,무직
82,1,무직
55,0,무직
43,1,기타
57,1,자유업
80,1,nan
54,0,주부
43,0,주부
55,0,주부
50,1,기타
67,1,자유업
33,1,기타
66,1,기타
77,0,무직
67,0,주부
4,0,nan
63,1,자유업
82,0,무직
69,1,무직
68,1,기타
72,1,기타
54,1,nan
57,1,무직
70,1,회사원
71,1,무직
42,1,기타
69,0,무직
32,1,회사원
75,1,무직
45,0,주부
74,0,기타
57,0,주부
44,0,기타
49,0,교사
78,1,자유업
74,1,무직
63,1,회사원
62,0,무직
57,1,기타
80,1,무직
72,1,무직
50,1,무직
49,0,회사원
73,1,무직
43,1,전문직
44,1,기타
68,1,무직
74,1,무직
55,0,주부
68,1,무직
48,0,nan
51,1,회사원
54,1,기타
71,0,무직
55,1,무직
50,1,nan
62,0,무직
73,0,무직
46,0,주부
65,0,주부
68,1,회사원
44,1,회사원
78,1,nan
57,1,무직
56,1,회사원
63,1,회사원
74,0,무직
46,1,기타
70,1,기타
68,1,자유업
44,1,nan
60,1,자유업
66,1,무직
29,1,회사원
71,1,자유업
64,1,자유업
45,1,무직
83,1,무직
55,0,주부
70,1,기타
39,1,자유업
46,0,전문직
43,1,무직
54,1,기타
66,0,기타
59,0,무직
47,1,자유업
65,1,기타
47,1,기타
52,1,기타
45,1,자유업
71,1,기타
71,1,자유업
41,0,주부
72,1,기타
51,0,기타
77,0,무직
65,1,무직
46,1,기타
77,1,무직
53,1,자유업
53,0,주부
51,1,자유업
79,1,무직
52,1,무직
48,1,무직
47,1,기타
32,0,무직
67,0,주부
67,1,자유업
44,1,회사원
61,0,주부
70,0,무직
43,1,회사원
54,1,기타
72,1,무직
55,1,자유업
60,1,무직
65,1,회사원
58,0,무직
31,0,nan
57,1,자유업
74,1,기타
48,0,회사원
63,0,주부
35,1,무직
78,1,무직
76,1,무직
74,0,무직
49,1,기타
49,1,기타
67,0,주부
63,0,주부
51,1,회사원
62,1,교사
78,0,주부
73,0,무직
24,0,회사원
80,1,무직
50,1,nan
44,0,전문직
64,0,기타
71,0,무직
72,1,무직
4,1,nan
73,1,무직
58,0,주부
60,1,기타
52,1,회사원
42,1,전문직
70,1,자유업
39,1,회사원
63,0,주부
70,1,자유업
36,0,주부
61,0,회사원
49,1,회사원
32,0,회사원
79,0,주부
49,0,교사
71,1,자유업
64,1,자유업
44,1,회사원
51,1,무직
65,1,자유업
46,1,자유업
60,1,회사원
78,0,기타
52,1,회사원
53,0,기타
53,1,nan
72,0,무직
49,1,회사원
58,0,주부
42,1,회사원
34,1,자유업
49,1,기타
41,1,회사원
62,1,자유업
63,0,무직
42,1,회사원
52,0,자유업
82,1,기타
44,0,주부
68,0,주부
47,1,회사원
51,1,회사원
66,0,주부
35,1,자유업
