statsMetaNo,age,gender,alcohol
16040,56,F,Y
16040,27,F,N
16040,67,M,Y
16040,44,M,Y
16040,55,M,Y
16040,62,M,N
16040,42,M,N
16040,63,M,N
16040,61,F,Y
16040,52,M,N
16040,58,M,N
16040,61,M,Y
16040,55,M,N
16040,59,M,Y
16040,36,M,N
16040,69,F,N
16040,73,M,N
16040,64,M,N
16040,69,M,Y
16040,64,M,N
16040,51,M,Y
16040,51,M,N
16040,65,M,N
16040,73,M,Y
16040,67,M,Y
16040,33,M,N
16040,50,M,Y
16040,67,M,N
16040,76,M,Y
16040,56,M,Y
16040,65,F,N
16040,45,M,N
16040,44,F,N
16040,60,M,Y
16040,48,F,Y
16040,41,F,N
16040,49,M,Y
16040,55,M,N
16040,77,M,N
16040,59,M,N
16040,61,M,Y
16040,45,F,N
16040,55,M,Y
16040,48,M,Y
16040,69,M,Y
16040,76,F,N
16040,49,F,Y
16040,67,F,N
16040,74,M,Y
16040,50,F,Y
16040,46,M,Y
16040,83,M,Y
16040,54,M,Y
16040,37,M,Y
16040,68,F,N
16040,43,M,N
16040,82,F,N
16040,53,M,Y
16040,72,F,N
16040,64,F,N
16040,65,F,N
16040,73,M,N
16040,61,M,N
16040,56,F,N
16040,49,M,Y
16040,40,F,N
16040,61,F,Y
16040,57,M,Y
16040,40,M,Y
16040,51,F,N
16040,52,M,N
16040,45,M,Y
16040,43,M,Y
16040,59,M,Y
16040,49,M,N
16040,60,F,N
16040,47,M,Y
16040,52,M,Y
16040,64,F,Y
16040,68,M,N
16040,43,M,N
16040,51,M,N
16040,48,M,N
16040,63,M,Y
16040,55,F,N
16040,46,F,N
16040,60,F,Y
16040,56,M,N
16040,73,M,Y
16040,51,F,N
16040,65,F,N
16040,53,F,N
16040,61,M,N
16040,50,F,Y
16040,69,M,N
16040,79,M,N
16040,55,F,N
16040,4,F,
16040,64,M,Y
16040,64,M,Y
16040,48,F,Y
16040,33,M,Y
16040,66,M,N
16040,52,M,Y
16040,48,M,Y
16040,56,M,Y
16040,31,F,N
16040,48,M,N
16040,55,M,Y
16040,60,M,N
16040,63,M,Y
16040,47,M,Y
16040,45,F,N
16040,54,F,N
16040,63,M,Y
16040,36,M,N
16040,73,M,Y
16040,29,M,Y
16040,73,M,N
16040,43,M,Y
16040,55,M,N
16040,40,M,Y
16040,46,F,N
16040,53,M,Y
16040,76,M,Y
16040,48,M,N
16040,68,M,Y
16040,59,F,N
16040,48,M,N
16040,65,M,Y
16040,64,M,N
16040,65,F,N
16040,48,M,Y
16040,70,M,Y
16040,79,F,N
16040,74,M,Y
16040,60,M,N
16040,39,M,N
16040,62,F,N
16040,70,M,N
16040,66,M,Y
16040,39,F,Y
16040,44,M,N
16040,50,M,Y
16040,74,M,N
16040,44,M,Y
16040,19,F,N
16040,70,M,Y
16040,42,M,N
16040,76,F,Y
16040,74,F,N
16040,33,M,Y
16040,77,M,Y
16040,63,F,N
16040,80,M,Y
16040,69,M,Y
16040,71,M,Y
16040,39,M,Y
16040,79,M,N
16040,35,M,Y
16040,45,M,Y
16040,52,F,N
16040,78,F,N
16040,50,M,Y
16040,55,F,N
16040,44,F,Y
16040,54,F,N
16040,55,M,N
16040,72,F,N
16040,46,M,Y
16040,60,F,N
16040,49,M,N
16040,52,M,Y
16040,67,M,N
16040,61,F,N
16040,50,M,Y
16040,43,F,N
16040,72,M,N
16040,49,F,N
16040,75,M,N
16040,45,M,Y
16040,45,F,Y
16040,48,F,N
16040,60,M,Y
16040,51,M,Y
16040,78,F,N
16040,46,M,N
16040,32,F,N
16040,58,M,Y
16040,67,M,Y
16040,79,F,N
16040,57,M,Y
16040,58,F,N
16040,62,F,N
16040,53,M,Y
16040,49,F,N
16040,81,M,Y
16040,88,M,Y
16040,41,F,N
16040,70,M,N
16040,73,F,N
16040,74,M,N
16040,62,M,Y
16040,74,F,N
16040,75,M,N
16040,63,M,N
16040,62,M,Y
16040,67,F,N
16040,83,M,Y
16040,53,M,Y
16040,44,F,N
16040,61,M,Y
16040,69,M,N
16040,54,M,N
16040,57,F,N
16040,67,M,Y
16040,59,F,N
16040,56,F,Y
16040,37,F,N
16040,57,M,Y
16040,77,M,Y
16040,57,F,Y
16040,78,M,N
16040,74,F,N
16040,25,F,Y
16040,56,M,Y
16040,78,F,N
16040,60,M,Y
16040,66,F,Y
16040,76,M,Y
16040,76,M,N
16040,42,M,Y
16040,80,M,N
16040,55,F,N
16040,53,F,N
16040,76,F,N
16040,63,F,N
16040,70,F,N
16040,63,M,Y
16040,73,F,N
16040,42,M,Y
16040,47,M,N
16040,77,M,Y
16040,51,F,N
16040,53,M,Y
16040,79,F,Y
16040,78,M,N
16040,39,M,Y
16040,56,M,N
16040,40,M,Y
16040,47,F,Y
16040,56,M,Y
16040,66,M,Y
16040,56,F,N
16040,60,M,Y
16040,68,M,Y
16040,39,F,N
16040,57,F,N
16040,68,M,N
16040,35,M,N
16040,52,M,Y
16040,58,M,N
16040,71,M,Y
16040,65,M,Y
16040,73,F,N
16040,66,F,N
16040,4,F,
16040,59,M,N
16040,36,F,Y
16040,32,F,Y
16040,57,M,N
16040,47,F,N
16040,44,M,N
16040,30,F,N
16040,67,M,N
16040,83,M,Y
16040,71,M,N
16040,58,F,N
16040,67,F,N
16040,49,M,Y
16040,71,M,Y
16040,66,M,N
16040,55,F,N
16040,43,M,Y
16040,47,M,Y
16040,61,M,N
16040,77,M,N
16040,81,F,N
16040,35,M,Y
16040,56,M,Y
16040,59,F,N
16040,80,M,N
16040,69,M,Y
16040,59,M,N
16040,55,F,N
16040,60,M,N
16040,66,M,Y
16040,67,M,N
16040,54,F,N
16040,75,M,N
16040,39,M,Y
16040,54,F,Y
16040,44,M,Y
16040,62,M,N
16040,29,F,Y
16040,48,M,Y
16040,60,M,Y
16040,44,F,Y
16040,70,M,Y
16040,46,F,N
16040,44,F,N
16040,39,M,N
16040,73,M,Y
16040,62,M,N
16040,63,F,N
16040,49,F,Y
16040,54,M,Y
16040,47,M,N
16040,83,F,N
16040,45,F,Y
16040,58,M,Y
16040,63,F,Y
16040,57,M,Y
16040,73,M,N
16040,33,M,Y
16040,71,F,N
16040,48,F,Y
16040,63,F,N
16040,54,M,N
16040,49,F,N
16040,46,F,Y
16040,32,M,Y
16040,63,M,N
16040,57,M,N
16040,47,M,Y
16040,46,M,N
16040,75,M,Y
16040,41,M,N
16040,69,M,Y
16040,87,M,Y
16040,51,M,N
16040,47,F,N
16040,68,F,N
16040,45,M,N
16040,58,M,N
16040,71,F,N
16040,39,M,Y
16040,58,M,Y
16040,79,M,Y
16040,74,F,N
16040,46,M,Y
16040,66,M,N
16040,50,M,Y
16040,69,F,N
16040,68,F,N
16040,46,M,N
16040,59,M,Y
16040,58,F,N
16040,62,M,Y
16040,48,F,N
16040,49,M,Y
16040,72,M,Y
16040,56,F,N
16040,72,M,N
16040,53,M,N
16040,68,M,Y
16040,51,M,Y
16040,65,F,N
16040,36,F,N
16040,75,M,N
16040,70,M,Y
16040,77,M,Y
16040,66,F,N
16040,69,F,N
16040,61,F,N
16040,66,F,N
16040,48,M,N
16040,63,M,Y
16040,70,M,N
16040,62,M,N
16040,68,M,Y
16040,58,M,Y
16040,30,M,Y
16040,57,F,N
16040,80,F,N
16040,70,M,Y
16040,60,F,N
16040,71,F,N
16040,82,M,Y
16040,80,M,Y
16040,62,M,Y
16040,68,M,Y
16040,58,M,Y
16040,25,M,N
16040,48,M,N
16040,84,M,Y
16040,51,M,Y
16040,62,M,Y
16040,50,M,Y
16040,75,F,N
16040,73,F,N
16040,38,M,N
16040,69,M,N
16040,48,F,N
16040,48,F,N
16040,21,M,Y
16040,54,M,Y
16040,73,M,N
16040,68,M,N
16040,45,M,N
16040,45,M,N
16040,70,M,Y
16040,58,M,N
16040,71,M,Y
16040,41,F,N
16040,77,F,N
16040,32,F,N
16040,46,M,Y
16040,49,M,N
16040,49,M,Y
16040,67,F,N
16040,72,M,Y
16040,50,M,N
16040,60,F,Y
16040,41,M,Y
16040,71,M,N
16040,43,M,Y
16040,56,M,Y
16040,45,M,Y
16040,45,F,N
16040,69,M,Y
16040,59,F,N
16040,2,M,
16040,49,M,Y
16040,43,F,Y
16040,58,F,N
16040,65,F,Y
16040,45,M,Y
16040,44,M,Y
16040,63,F,N
16040,59,F,Y
16040,67,F,N
16040,46,M,N
16040,51,M,Y
16040,34,F,N
16040,61,M,N
16040,61,F,Y
16040,39,M,Y
16040,71,F,N
16040,72,M,Y
16040,60,F,N
16040,33,M,N
16040,58,M,Y
16040,41,M,Y
16040,63,M,Y
16040,60,F,N
16040,71,F,N
16040,66,F,N
16040,30,M,Y
16040,42,M,N
16040,53,F,N
16040,48,M,Y
16040,38,M,Y
16040,27,M,N
16040,54,M,Y
16040,62,M,Y
16040,39,F,Y
16040,66,F,N
16040,65,M,Y
16040,48,M,Y
16040,76,M,Y
16040,56,M,N
16040,75,F,N
16040,78,F,N
16040,32,M,Y
16040,72,M,Y
16040,79,M,Y
16040,80,M,N
16040,63,M,N
16040,74,M,N
16040,77,M,N
16040,64,M,N
16040,54,F,Y
16040,54,M,N
16040,70,F,N
16040,46,F,Y
16040,55,F,N
16040,4,M,
16040,48,M,Y
16040,47,M,Y
16040,53,F,Y
16040,63,F,Y
16040,71,M,Y
16040,48,F,Y
16040,76,M,N
16040,58,M,Y
16040,75,M,Y
16040,71,M,N
16040,58,M,Y
16040,43,M,Y
16040,64,F,N
16040,68,M,Y
16040,50,F,N
16040,44,F,N
16040,42,M,N
16040,45,F,N
16040,71,M,Y
16040,58,M,Y
16040,72,M,N
16040,76,F,N
16040,72,F,N
16040,41,M,Y
16040,49,M,Y
16040,41,M,N
16040,74,M,Y
16040,50,M,Y
16040,48,M,N
16040,65,M,Y
16040,52,M,N
16040,57,M,Y
16040,80,M,N
16040,51,M,N
16040,40,M,Y
16040,76,M,N
16040,66,M,Y
16040,41,M,Y
16040,56,M,N
16040,54,M,Y
16040,74,M,Y
16040,64,M,Y
16040,75,M,Y
16040,65,M,N
16040,52,F,N
16040,65,M,Y
16040,53,M,N
16040,85,M,N
16040,78,F,N
16040,49,F,Y
16040,44,M,Y
16040,44,M,Y
16040,51,M,Y
16040,72,M,Y
16040,60,M,Y
16040,59,M,Y
16040,67,M,N
16040,57,M,Y
16040,66,M,N
16040,70,M,Y
16040,34,M,Y
16040,59,M,Y
16040,56,M,N
16040,50,M,N
16040,82,M,N
16040,78,M,N
16040,52,M,Y
16040,42,M,N
16040,72,M,N
16040,61,M,Y
16040,68,M,N
16040,45,M,N
16040,62,M,Y
16040,62,M,Y
16040,69,M,N
16040,55,M,Y
16040,50,M,N
16040,68,F,N
16040,58,F,N
16040,50,F,N
16040,56,F,N
16040,46,F,N
16040,43,M,Y
16040,70,F,N
16040,64,M,N
16040,43,F,N
16040,69,M,Y
16040,52,M,Y
16040,57,M,Y
16040,42,F,N
16040,65,M,Y
16040,61,F,N
16040,30,M,Y
16040,63,M,Y
16040,66,F,Y
16040,57,F,N
16040,40,M,N
16040,64,F,N
16040,61,F,Y
16040,44,F,N
16040,56,M,Y
16040,61,M,Y
16040,69,F,N
16040,64,M,Y
16040,79,F,N
16040,63,F,N
16040,75,M,Y
16040,64,F,N
16040,58,F,N
16040,67,F,N
16040,56,M,N
16040,42,M,Y
16040,65,F,Y
16040,50,F,N
16040,74,M,N
16040,71,M,N
16040,49,M,N
16040,71,M,N
16040,79,F,N
16040,43,F,Y
